Feature Code,Feature Name,Sprint/Round,Category,Status,Implementation Files,Commit Date
FR-100,Email + password registration (bcrypt cost 12+),R0,Auth & Authorization,Implemented,"packages/db/src/schema/users.ts, packages/shared/src/schemas/auth.schemas.ts",2026-02-19
FR-101,JWT login (access token 1h + refresh token 30d),R0,Auth & Authorization,Implemented,"packages/shared/src/types/auth.ts, packages/shared/src/schemas/auth.schemas.ts",2026-02-19
FR-104,RBAC with 4 roles (site_admin / pm / developer / client),R0,Auth & Authorization,Implemented,"packages/db/src/schema/users.ts, packages/shared/src/types/auth.ts, packages/shared/src/constants/roles.ts",2026-02-19
FR-105,Role-based endpoint protection via middleware,R0,Auth & Authorization,Implemented,"packages/shared/src/constants/permissions.ts, apps/api/src/middleware/rbac.ts",2026-02-20
FR-106,SSO integration (SAML 2.0 / OIDC),R0,Auth & Authorization,Stub,apps/api/src/routes/sso.ts,2026-02-21
FR-107,MFA TOTP - enrollment / verification / recovery codes,R0,Auth & Authorization,Stub,apps/api/src/routes/sso.ts,2026-02-21
FR-108,Session hardening (device fingerprint / IP pinning),R0,Auth & Authorization,Stub,apps/api/src/routes/sso.ts,2026-02-21
FR-109,Admin-configurable values per-tenant key-value config,R0,Auth & Authorization,Implemented,packages/shared/src/schemas/config.schemas.ts,2026-02-20
FR-110,CRUD projects (name / description / status / dates),R0,Project Management,Implemented,"packages/db/src/schema/projects.ts, packages/shared/src/schemas/project.schemas.ts, apps/api/src/routes/projects.ts",2026-02-19
FR-111,Project phases (Discovery / Build / Deliver) CRUD,R0,Project Management,Implemented,"apps/api/src/routes/phases.ts, packages/db/src/schema/phases.ts",2026-02-20
FR-112,WBS baseline storage in projects (JSONB) + persistence,R0,Project Management,Implemented,"packages/db/src/schema/projects.ts, apps/api/src/routes/ai.ts",2026-02-20
FR-113,Soft delete with recovery window,R0,Project Management,Implemented,"packages/db/src/schema/projects.ts, packages/db/src/schema/tasks.ts",2026-02-20
